param n := 16.0;
param numVehicles := 2.0;
set Origin := 33 35 36;
set O := 35 36;
param Ok := 1 35 2 36;
set S := 42 43 44 45 46;
set F := 34 37 38 39 40 41;
param t:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46:=
1 0.0 3.0406 3.7954 4.6244 2.1972 3.4756 4.2462 4.2878 3.7802 1.62136 2.3808 3.4968 0.94566 3.3332 1.086 3.3472 4.2154 4.0968 1.40094 2.0232 3.996 3.3426 2.8124 4.3324 4.4868 2.2508 3.7916 3.9112 3.3202 2.7896 1.086 0.64868 0.0 0.0 1.70362 4.2786 1.70362 3.6866 4.8434 2.218 4.2786 1.70362 3.6866 4.8434 2.218 4.2786
2 3.6622 0.0 3.8018 1.70656 3.9574 3.828 4.2524 1.36998 2.4044 2.0436 4.141 2.293 4.12 1.95742 4.0814 0.56262 6.2916 1.12896 3.6572 4.2734 2.6204 5.4188 2.2926 2.9566 3.357 5.425 3.7978 0.94354 5.3964 5.0398 4.0814 3.1092 0.0 0.0 3.8498 1.36084 3.8498 0.71884 2.3676 3.9782 1.36084 3.8498 0.71884 2.3676 3.9782 1.36084
3 2.5912 2.3038 0.0 3.8876 2.2946 1.74506 2.1694 3.5512 3.0434 3.1828 2.4782 1.6802 3.479 2.5966 3.0104 2.7938 4.6208 3.36 2.5864 3.2024 3.2594 3.748 2.1218 3.5956 2.6702 4.7782 1.71488 3.1746 3.3456 3.9688 3.0104 3.182 0.0 0.0 2.779 3.542 2.779 2.95 4.1068 2.3154 3.542 2.779 2.95 4.1068 2.3154 3.542
4 3.294 1.54874 2.4338 0.0 3.0094 2.46 2.8844 1.54396 1.03634 2.4276 3.193 0.92506 3.7998 0.5894 3.7134 2.0386 5.3356 2.295 3.2892 3.9054 1.2523 4.4628 1.36656 1.58854 1.98896 5.105 2.4298 2.4196 4.0604 4.6718 3.7134 2.7892 0.0 0.0 3.4818 1.53482 3.4818 2.1948 2.0996 3.0302 1.53482 3.4818 2.1948 2.0996 3.0302 1.53482
5 2.8008 2.5134 1.72236 4.0972 0.0 1.40856 2.173 3.7606 3.253 3.3922 1.57768 1.8897 3.6886 2.806 3.22 3.0032 3.6602 3.5696 2.7958 2.462 3.469 2.7876 2.3312 3.8052 2.8796 3.9616 1.71836 3.3842 2.385 3.1524 3.22 3.3916 0.0 0.0 2.4754 3.7514 2.4754 3.1594 4.3162 2.525 3.7514 2.4754 3.1594 4.3162 2.525 3.7514
6 2.6902 2.4028 1.61178 3.9866 2.3934 0.0 2.0624 3.65 3.1424 3.2816 2.4312 1.7791 3.578 2.6954 3.1094 2.8926 4.5136 3.459 2.6852 3.3014 3.3584 3.641 2.2206 3.6946 2.769 4.815 1.60778 3.2736 3.2384 4.0058 3.1094 3.281 0.0 0.0 2.8778 3.6408 2.8778 3.0488 4.2058 2.4144 3.6408 2.8778 3.0488 4.2058 2.4144 3.6408
7 3.9308 2.1894 1.52642 2.8072 3.634 3.0846 0.0 2.4706 1.67704 3.0682 3.8178 1.56574 4.4406 2.4822 4.35 2.6792 5.9602 3.2216 3.9258 4.542 2.179 5.0876 2.0072 2.5152 1.01166 5.7458 2.4824 3.0602 4.685 5.3084 4.35 3.43 0.0 0.0 4.1186 2.4616 4.1186 2.8356 2.9644 3.655 2.4616 4.1186 2.8356 2.9644 3.655 2.4616
8 3.6306 1.8853 2.7702 0.33656 3.346 2.7964 3.221 0.0 1.3729 2.7642 3.5296 1.26162 4.1364 0.92598 4.0498 2.3752 5.6722 2.6316 3.6258 4.2418 1.58886 4.7994 1.70312 1.9251 2.3256 5.4416 2.7662 2.756 4.397 5.0084 4.0498 3.1258 0.0 0.0 3.8184 1.87138 3.8184 2.5314 2.4362 3.3668 1.87138 3.8184 2.5314 2.4362 3.3668 1.87138
9 2.606 2.3186 1.73358 3.0844 2.3092 1.75978 2.1842 2.7478 0.0 3.1974 2.493 1.69492 3.4938 2.6112 3.0252 2.8084 4.6354 3.3748 2.601 3.2172 2.4562 3.7628 2.1364 2.7924 1.28882 4.793 1.72958 3.1894 3.3602 3.9836 3.0252 3.1968 0.0 0.0 2.7938 2.7386 2.7938 2.9646 3.2416 2.3302 2.7386 2.7938 2.9646 3.2416 2.3302 2.7386
10 1.92468 1.72532 3.8624 3.3092 2.562 3.8406 4.313 2.9726 2.465 0.0 2.7456 2.3536 2.3824 2.018 2.344 2.032 4.7282 2.7816 1.91974 2.536 2.6808 3.8554 1.94116 3.0172 3.4176 3.6876 3.8584 2.5962 3.833 3.3024 2.344 1.37186 0.0 0.0 2.1124 2.9634 2.1124 2.3714 3.5282 2.5828 2.9634 2.1124 2.3714 3.5282 2.5828 2.9634
