param n := 20.0;
param numVehicles := 2.0;
set Origin := 41 43 44;
set O := 43 44;
param Ok := 1 43 2 44;
set S := 50 51 52 53 54;
set F := 42 45 46 47 48 49;
param t:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54:=
1 0.0 3.7356 1.65574 3.938 2.7296 1.086 3.4756 4.2878 3.7802 3.3702 3.4968 3.5888 2.9528 3.6104 1.086 1.81006 2.036 3.4638 1.086 6.0218 4.2154 4.4636 2.1632 3.0686 2.9716 1.086 3.3426 4.3324 4.4868 2.999 3.9112 3.098 2.9528 3.09 1.086 2.887 2.8324 2.2488 1.086 1.8581 0.0 0.0 1.70362 4.2786 1.70362 3.6866 4.8434 2.218 4.2786 1.70362 3.6866 4.8434 2.218 4.2786
2 4.151 0.0 3.7968 2.377 4.3266 4.5702 3.3968 0.93878 1.97314 2.7394 1.86186 1.78176 2.8758 1.8034 4.5702 4.445 5.699 4.6548 4.5702 4.2148 6.2724 1.11472 5.8262 3.2996 3.7746 4.5702 5.3996 2.5254 2.9258 1.03612 1.94832 3.021 2.8758 3.0132 4.5702 3.6248 6.4954 4.8838 4.5702 3.9992 0.0 0.0 4.3386 0.92962 4.3386 1.72364 3.0364 3.967 0.92962 4.3386 1.72364 3.0364 3.967 0.92962
3 0.59398 4.2718 0.0 4.134 2.6336 1.0132 3.2758 4.8238 4.3162 3.1704 3.763 4.1248 3.489 4.1464 1.0132 1.61016 2.572 3.3678 1.0132 6.5578 4.1194 4.9998 2.6992 2.8686 2.7716 1.0132 3.2468 4.8684 4.7528 3.5352 4.4474 3.6342 3.489 3.6262 1.0132 2.6872 3.3686 2.0488 1.0132 2.3942 0.0 0.0 1.50372 4.8146 1.50372 4.2228 5.3796 2.0182 4.8146 1.50372 4.2228 5.3796 2.0182 4.8146
4 1.96126 2.369 1.60712 0.0 2.309 2.3804 2.003 2.9212 2.4136 0.45768 1.05022 2.2222 1.99422 2.2438 2.3804 2.2554 3.9394 2.6372 2.3804 4.6552 3.9988 3.097 4.0606 1.01796 1.4929 2.3804 3.126 2.9658 2.0402 1.63248 2.5446 2.1394 1.99422 2.1314 2.3804 1.60712 4.7298 2.6942 2.3804 2.0254 0.0 0.0 2.149 2.912 2.149 2.32 3.4768 1.68544 2.912 2.149 2.32 3.4768 1.68544 2.912
5 2.3828 3.8886 2.0288 2.941 0.0 2.257 1.12468 4.4408 3.9332 1.97728 2.5698 3.7418 3.0838 3.7634 2.257 1.21704 2.447 0.90474 2.257 6.1748 2.0364 4.6166 2.2502 2.1076 1.5785 2.257 1.16364 4.4854 3.5598 3.152 4.0642 3.229 3.0838 3.221 2.257 0.89004 2.9194 2.0378 2.257 2.705 0.0 0.0 1.44558 4.4316 1.44558 3.8396 4.9964 2.007 4.4316 1.44558 3.8396 4.9964 2.007 4.4316
6 0.47444 4.1522 1.33518 3.7754 2.275 0.0 2.9172 4.7044 4.1966 2.8118 3.4042 4.0052 3.3562 4.027 0.0 1.2515 2.4524 3.0092 0.0 6.4384 3.7608 4.8802 2.2626 2.51 2.413 0.0 2.8882 4.7488 4.3942 3.4156 4.3278 3.5014 3.3562 3.4936 0.0 2.3286 2.932 1.6902 0.0 2.2616 0.0 0.0 1.14506 4.6952 1.14506 4.1032 5.26 1.6595 4.6952 1.14506 4.1032 5.26 1.6595 4.6952
7 2.6902 3.098 2.336 2.1502 2.5678 3.1094 0.0 3.65 3.1424 1.18658 1.7791 2.951 2.7232 2.9726 3.1094 2.9844 4.6682 2.896 3.1094 5.384 4.5136 3.826 4.7274 1.74686 0.7878 3.1094 3.641 3.6946 2.769 2.3614 3.2736 2.8684 2.7232 2.8604 3.1094 1.86602 5.3968 3.423 3.1094 2.7544 0.0 0.0 2.8778 3.6408 2.8778 3.0488 4.2058 2.4144 3.6408 2.8778 3.0488 4.2058 2.4144 3.6408
8 3.6306 2.2704 3.2766 1.77676 3.7264 4.0498 2.7964 0.0 1.3729 2.139 1.26162 1.18152 2.2756 1.20316 4.0498 3.9248 5.2268 4.0546 4.0498 3.6146 5.6722 0.175938 5.354 2.6994 3.1744 4.0498 4.7994 1.9251 2.3256 1.84388 2.756 2.4208 2.2756 2.4128 4.0498 3.0246 6.0232 4.3636 4.0498 3.4788 0.0 0.0 3.8184 1.87138 3.8184 2.5314 2.4362 3.3668 1.87138 3.8184 2.5314 2.4362 3.3668 1.87138
9 2.606 3.0138 2.2518 0.74006 2.6896 3.0252 1.75978 2.7478 0.0 1.10238 1.69492 1.76282 2.639 1.78446 3.0252 2.9002 4.584 3.0178 3.0252 4.4198 4.6354 2.9238 4.7052 1.66266 2.1376 3.0252 3.7628 2.7924 1.28882 2.2772 3.1894 2.7842 2.639 2.7762 3.0252 1.98782 5.3746 3.3388 3.0252 2.6702 0.0 0.0 2.7938 2.7386 2.7938 2.9646 3.2416 2.3302 2.7386 2.7938 2.9646 3.2416 2.3302 2.7386
10 3.0388 2.0506 2.6846 1.17282 3.1224 3.458 2.1926 2.6026 2.095 0.0 0.73168 1.90358 1.74568 1.92522 3.458 3.333 4.6968 3.4506 3.458 4.3366 5.0682 2.7786 4.824 2.0954 2.5704 3.458 4.1956 2.6472 1.72158 1.31394 2.2262 1.89088 1.74568 1.88294 3.458 2.4206 5.4934 3.7716 3.458 2.949 0.0 0.0 3.2264 2.5934 3.2264 2.0014 3.1582 2.763 2.5934 3.2264 2.0014 3.1582 2.763 2.5934
