param n := 24.0;
param numVehicles := 2.0;
set Origin := 49 51 52;
set O := 51 52;
param Ok := 1 51 2 52;
set S := 58 59 60 61 62;
set F := 50 53 54 55 56 57;
param t:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62:=
1 0.0 7.0818 7.093 5.2732 6.3562 3.5038 2.3576 5.2548 1.92312 5.5858 5.2508 5.0892 7.408 3.0478 6.5922 2.6696 5.9004 3.1088 2.998 2.2448 4.061 6.4526 2.0692 5.026 3.316 2.7326 3.0988 3.1702 5.5874 4.532 2.3576 3.9174 5.3604 4.2706 6.5806 2.1082 7.408 4.7068 7.2634 1.48954 6.6284 2.1482 6.1608 2.2448 1.28966 6.4972 4.6232 2.5748 0.0 0.0 6.4434 3.0188 2.1114 5.8514 7.0082 3.0188 6.4434 2.1114 5.8514 7.0082 3.0188 6.4434
2 6.1126 0.0 2.0182 1.08652 0.62752 3.473 4.0076 1.7782 4.7544 1.24308 0.90806 2.0544 1.84138 3.781 1.02544 4.129 1.1138 3.308 3.7312 4.3552 3.4742 0.72384 5.2804 2.0914 4.0492 3.4658 3.9862 3.5456 1.83298 3.2734 4.0076 2.339 3.1616 3.6838 0.852 5.749 1.84138 1.77204 1.69676 6.4088 0.89978 4.6476 0.43218 4.3552 5.277 0.76842 1.6645 3.9462 0.0 0.0 0.7147 3.7522 4.1238 1.5087 1.93352 3.7522 0.7147 4.1238 1.5087 1.93352 3.7522 0.7147
3 6.5646 1.76312 0.0 2.6586 2.1996 3.797 4.3316 3.3502 5.0784 2.815 2.48 3.6264 3.4074 4.105 2.0334 4.453 2.6858 3.632 4.0552 4.7592 3.2642 2.2958 5.6044 2.4154 4.3732 3.7898 4.3902 3.8696 3.405 2.8674 4.3316 3.5008 2.2376 3.4738 2.424 6.201 3.4074 2.096 2.4908 6.8608 2.4718 5.0996 2.0042 4.7592 5.681 2.3404 3.1386 4.3502 0.0 0.0 2.2866 4.0762 4.5278 3.0808 1.68954 4.0762 2.2866 4.5278 3.0808 1.68954 4.0762 2.2866
4 5.322 3.2286 3.2398 0.0 2.503 2.5546 3.0892 2.2676 3.836 1.73254 1.39754 2.5438 3.5548 2.8626 2.739 3.2104 2.0472 2.3896 2.8128 3.5166 2.5558 2.5994 4.3618 1.1728 3.1308 2.5474 3.1476 2.627 2.3224 2.3548 3.0892 2.2582 2.2432 2.7654 2.7274 4.9586 3.5548 0.85352 3.4102 5.6184 2.7752 3.857 2.3076 3.5166 4.4384 2.644 1.89598 3.1076 0.0 0.0 2.5902 2.8336 3.2852 1.99818 3.155 2.8336 2.5902 3.2852 1.99818 3.155 2.8336 2.5902
5 5.9516 2.6062 2.6172 0.79754 0.0 3.184 3.7186 2.8972 4.4654 2.362 2.027 3.1734 3.0944 3.492 2.2784 3.84 2.3668 3.019 3.4422 4.1462 3.1852 0.096334 4.9914 1.80234 3.7604 3.1768 3.7772 3.2566 2.952 2.9844 3.7186 2.8878 2.8726 3.3948 0.22448 5.588 3.0944 1.48306 2.9498 6.2478 0.27228 4.4866 1.6852 4.1462 5.068 2.0214 2.5256 3.7372 0.0 0.0 1.96772 3.4632 3.9148 2.6278 2.5326 3.4632 1.96772 3.9148 2.6278 2.5326 3.4632 1.96772
6 4.7202 3.9828 3.9938 3.1902 3.699 0.0 1.87926 4.0378 2.626 3.5026 3.1676 4.314 4.913 2.1166 4.097 2.0004 3.8174 1.17964 2.0668 3.5556 1.34582 3.7954 3.152 2.943 2.3848 2.8474 3.4598 2.927 4.0926 1.1449 1.87926 4.0284 2.1312 1.5554 3.9236 4.6046 4.913 2.6236 4.7104 4.9404 3.9714 3.6152 3.5038 3.5556 3.3846 3.84 3.666 3.4196 0.0 0.0 3.7862 3.1338 2.7442 3.7682 3.9092 3.1338 3.7862 2.7442 3.7682 3.9092 3.1338 3.7862
7 3.0826 5.2172 5.2284 3.4086 4.4916 1.6391 0.0 4.1032 0.9885 3.7212 3.3862 4.3794 5.5434 1.08796 4.7276 0.80498 4.0358 1.24412 1.0382 2.5122 2.1962 4.588 1.51448 3.1614 1.3562 1.82278 2.6882 2.2604 4.311 2.6674 0.0 3.5036 3.4958 2.4058 4.716 2.9672 5.5434 2.8422 5.3988 3.303 4.7638 2.5716 4.2962 2.5122 1.74704 4.6324 3.4714 2.6482 0.0 0.0 4.5788 2.109 1.70076 3.9868 5.1436 2.109 4.5788 1.70076 3.9868 5.1436 2.109 4.5788
8 4.522 3.6806 3.6918 1.87196 2.691 3.3284 3.4892 0.0 4.0518 1.87052 1.8495 1.15786 3.6928 2.6904 2.8768 3.9484 2.1852 4.0936 2.6408 2.7646 4.2596 2.7872 4.1978 1.62478 2.9588 2.3754 2.3956 2.455 1.65608 4.0588 3.4892 0.74842 3.9472 4.4692 2.9154 4.1584 3.6928 2.5574 3.5482 4.8182 2.9632 3.057 2.7596 2.7646 3.6864 3.0958 1.11796 2.3556 0.0 0.0 2.7782 2.6616 2.5332 2.1362 3.607 2.6616 2.7782 2.5332 2.1362 3.607 2.6616 2.7782
9 3.4122 7.1148 7.1258 5.3062 6.3892 3.5366 2.3904 6.1538 0.0 5.6186 5.2836 6.338 7.441 3.3306 6.625 2.7026 5.9334 3.1416 3.2808 4.1716 4.0938 6.4854 1.42202 5.059 3.5988 3.6354 4.3478 4.0732 6.2086 4.565 2.3904 5.1664 5.3932 4.3034 6.6136 3.9732 7.441 4.7396 7.2964 3.3544 6.6614 4.2312 6.1938 4.1716 3.4066 6.53 5.7142 4.3078 0.0 0.0 6.4762 3.9218 3.3602 5.8844 7.0412 3.9218 6.4762 3.3602 5.8844 7.0412 3.9218 6.4762
10 6.0348 2.1752 2.1864 1.46668 1.00768 3.8532 4.3878 1.70036 5.1346 0.0 1.28822 1.97658 2.0096 4.1612 1.1936 4.509 0.50196 3.6882 4.1114 4.2774 3.8544 1.104 5.6606 2.0934 4.4294 3.846 3.9082 3.9256 0.77714 3.6534 4.3878 2.2612 3.5418 4.064 1.23216 5.6712 2.0096 2.1522 1.86492 6.331 1.27994 4.5698 2.3544 4.2774 5.1992 2.6906 1.58666 3.8682 0.0 0.0 1.09486 4.1324 4.0458 0.45286 2.1016 4.1324 1.09486 4.0458 0.45286 2.1016 4.1324 1.09486
