param n := 18.0;
param numVehicles := 3.0;
set Origin := 37 39 40 41;
set O := 39 40 41;
param Ok := 1 39 2 40 3 41;
set S := 47 48 49 50 51;
set F := 38 42 43 44 45 46;
param t:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51:=
1 0.0 3.0264 2.7548 4.4408 3.9332 1.75068 3.0142 1.01582 2.8786 3.7634 2.257 1.21704 4.4638 2.447 0.90474 2.257 2.257 0.63034 1.5785 4.5164 2.9834 4.4854 3.5598 2.4726 2.393 1.72648 0.76112 3.221 2.257 0.89004 4.5612 2.9194 2.0378 2.257 2.257 2.3186 0.0 0.0 4.9964 3.8396 2.007 1.44558 3.8396 4.9964 2.007 4.4316 1.44558 3.8396 4.9964 2.007 4.4316
2 4.7222 0.0 4.4826 1.8024 2.7328 3.7804 1.81388 4.0574 4.0364 2.563 3.9978 3.8728 1.77544 5.1266 5.1844 3.9978 3.9978 5.182 4.0402 1.82798 1.783 3.285 3.6854 3.2384 3.5886 4.1262 5.3128 2.9188 3.9978 4.1544 3.593 5.9232 4.3114 3.9978 3.9978 3.8484 0.0 0.0 2.8 1.15126 3.8948 3.7662 1.15126 2.8 3.8948 1.79326 3.7662 1.15126 2.8 3.8948 1.79326
3 2.2106 3.1826 0.0 4.2888 3.5212 2.8088 3.1704 2.074 4.5248 3.3514 3.783 2.7432 4.1428 4.567 2.5388 3.783 3.783 2.7504 1.7346 4.0904 3.1394 4.3334 2.8558 3.7268 3.647 0.31058 2.8812 3.8072 3.783 1.50882 3.1174 5.0396 3.3958 3.783 3.783 3.3148 0.0 0.0 3.6826 3.9956 3.3612 2.9716 3.9956 3.6826 3.3612 4.2796 2.9716 3.9956 3.6826 3.3612 4.2796
4 3.7264 1.71824 3.1226 0.0 1.3729 2.9144 1.706 3.5296 4.1364 1.20316 4.0498 3.9248 2.0656 5.2268 4.0546 4.0498 4.0498 4.2662 3.1744 2.1182 1.67514 1.9251 2.3256 3.3384 3.6408 2.7662 4.397 2.4128 4.0498 3.0246 2.233 6.0232 4.3636 4.0498 4.0498 3.3204 0.0 0.0 2.4362 2.5314 3.3668 3.8184 2.5314 2.4362 3.3668 1.87138 3.8184 2.5314 2.4362 3.3668 1.87138
5 2.6896 2.1516 2.086 2.7478 0.0 1.87778 2.1394 2.493 3.4938 1.78446 3.0252 2.9002 2.9328 4.584 3.0178 3.0252 3.0252 3.2294 2.1376 2.9854 2.1084 2.7924 1.28882 2.6958 2.616 1.72958 3.3602 2.7762 3.0252 1.98782 2.6764 5.3746 3.3388 3.0252 3.0252 2.2838 0.0 0.0 3.2416 2.9646 2.3302 2.7938 2.9646 3.2416 2.3302 2.7386 2.7938 2.9646 3.2416 2.3302 2.7386
6 1.22874 2.8246 2.553 4.239 3.7314 0.0 2.8124 1.09204 3.7428 3.5616 2.8012 1.76126 4.262 3.5852 1.55696 2.8012 2.8012 1.76856 1.37672 4.3146 2.7816 4.2836 3.358 3.017 2.9372 1.52472 1.89936 3.2974 2.8012 0.52696 4.5174 4.0576 2.414 2.8012 2.8012 2.6948 0.0 0.0 4.7946 3.6378 2.3832 1.9898 3.6378 4.7946 2.3832 4.2298 1.9898 3.6378 4.7946 2.3832 4.2298
7 4.7344 0.0122244 4.4948 1.81464 2.745 3.7926 0.0 4.0698 4.0486 2.5752 4.01 3.885 1.78766 5.1388 5.1966 4.01 4.01 5.1942 4.0524 1.8402 1.79524 3.2972 3.6976 3.2506 3.6008 4.1384 5.325 2.931 4.01 4.1666 3.6052 5.9354 4.3236 4.01 4.01 3.8606 0.0 0.0 2.8124 1.16348 3.907 3.7786 1.16348 2.8124 3.907 1.80548 3.7786 1.16348 2.8124 3.907 1.80548
8 0.91436 3.7422 3.4708 5.1566 4.649 2.4666 3.73 0.0 3.2426 4.4792 2.6208 1.58088 5.1796 2.8108 1.64858 2.6208 2.6208 1.37418 2.2944 5.2322 3.6992 5.2012 4.2756 2.8366 2.7568 2.4424 1.50498 3.937 2.6208 1.6059 5.277 3.2832 2.4016 2.6208 2.6208 2.6824 0.0 0.0 5.7122 4.5554 2.3708 1.80942 4.5554 5.7122 2.3708 5.1474 1.80942 4.5554 5.7122 2.3708 5.1474
9 2.045 4.239 4.6014 5.6532 5.1456 3.1992 4.2268 2.3004 0.0 4.976 1.57354 1.7176 5.6764 1.67548 2.7794 1.57354 1.57354 2.505 3.425 5.7288 4.196 5.6978 5.4062 1.51326 1.90356 3.573 2.6356 4.4556 1.57354 2.7366 6.0058 2.148 2.7364 1.57354 1.57354 3.0172 0.0 0.0 6.209 5.0522 2.7056 1.94614 5.0522 6.209 2.7056 5.6442 1.94614 5.0522 6.209 2.7056 5.6442
10 3.3688 0.75472 3.4112 2.169 1.66138 2.311 0.74248 2.704 3.173 0.0 3.0864 2.9614 2.192 4.2632 3.715 3.0864 3.0864 3.8286 2.5708 2.2446 0.71162 2.2136 2.614 2.375 2.6772 3.0548 3.9594 1.44936 3.0864 2.685 2.5216 5.0598 3.4 3.0864 3.0864 2.495 0.0 0.0 2.7246 1.56786 2.5414 2.8548 1.56786 2.7246 2.5414 2.1598 2.8548 1.56786 2.7246 2.5414 2.1598
