param n := 24.0;
param numVehicles := 3.0;
set Origin := 49 51 52 53;
set O := 51 52 53;
param Ok := 1 51 2 52 3 53;
set S := 59 60 61 62 63;
set F := 50 54 55 56 57 58;
param t:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63:=
1 0.0 3.453 2.544 3.2324 1.79292 3.6152 2.6134 3.4588 5.0926 1.41246 2.415 2.4278 4.2574 3.935 3.9018 2.6596 3.1996 1.23318 3.5928 2.0408 1.9046 1.98232 1.70514 3.935 0.042342 4.2798 3.6084 3.172 4.0776 3.6152 2.1966 2.1658 5.0926 2.4686 2.4128 3.3954 3.4594 3.935 1.2023 2.7042 3.1756 3.526 3.5454 2.2832 2.0402 2.338 4.8934 3.935 0.0 0.0 3.2154 2.6506 2.0586 3.7036 2.0586 3.2154 3.43 2.6506 3.7036 2.0586 3.2154 3.43 2.6506
2 2.0562 0.0 3.7168 0.74316 2.9656 4.788 2.3762 0.24564 2.9572 2.5852 3.5876 1.37248 1.29424 2.4298 2.1466 3.8324 0.7104 2.406 1.06352 1.96154 1.82534 3.155 2.8778 2.4298 2.0986 2.8846 1.85312 1.41666 2.3224 4.788 3.3692 2.0866 2.9572 3.6414 3.7374 1.64016 0.97022 2.4298 2.375 3.877 2.1004 2.0208 1.7902 3.456 1.96084 2.1808 2.7062 2.4298 0.0 0.0 4.3882 3.8232 3.2314 1.96128 3.2314 4.3882 1.73476 3.8232 1.96128 3.2314 4.3882 1.73476 3.8232
3 1.97206 3.5056 0.0 3.063 2.3814 3.1138 2.804 3.5114 5.3712 2.001 1.75148 2.2582 3.842 4.1656 3.2384 0.115722 3.0302 1.82174 3.6454 1.37734 1.24116 1.31888 1.0417 4.1656 2.0144 4.5584 2.945 2.5084 3.4142 3.1138 1.53308 1.50244 5.3712 2.7472 3.1532 2.732 3.29 4.1656 1.79086 2.0408 3.4542 3.7566 2.882 2.8718 1.37666 2.5286 5.124 4.1656 0.0 0.0 2.552 1.9871 2.6472 3.9342 2.6472 2.552 3.4826 1.9871 3.9342 2.6472 2.552 3.4826 1.9871
4 2.93 2.3736 4.0904 0.0 3.3394 5.1618 3.35 1.3294 2.885 2.959 3.9614 1.74624 1.196 2.7684 2.5204 4.2062 1.79416 2.7796 1.05928 2.3352 2.1992 3.5288 3.2516 2.7684 2.9724 2.8802 1.55488 0.933 2.0242 5.1618 3.743 2.4604 2.885 4.0152 4.1112 1.34192 1.34398 2.7684 2.7488 4.2508 2.9842 2.9044 1.49196 3.8298 2.3346 3.2646 2.634 2.7684 0.0 0.0 4.7618 4.197 3.605 1.95704 3.605 4.7618 2.3506 4.197 1.95704 3.605 4.7618 2.3506 4.197
5 2.6218 4.1554 0.98828 3.7128 0.0 2.0096 3.3578 4.1612 5.4348 1.24276 2.4012 2.908 4.4918 4.2774 3.8882 1.104 3.68 2.0934 4.295 2.027 1.8909 1.96864 1.69144 4.2774 2.6642 4.622 3.5946 3.1582 4.064 2.0096 2.1828 2.1522 5.4348 0.86298 0.95902 3.3818 3.9398 4.2774 2.0626 2.6906 3.518 3.8682 3.5318 0.67754 2.0264 3.1784 5.2358 4.2774 0.0 0.0 2.1016 1.09486 0.45286 4.0458 0.45286 2.1016 4.1324 1.09486 4.0458 0.45286 2.1016 4.1324 1.09486
6 2.4922 4.0258 0.85872 3.5832 1.49368 0.0 3.3242 4.0316 5.7632 1.11322 2.2716 2.7784 4.3622 4.6058 3.7586 0.97446 3.5504 2.342 4.1656 1.89754 1.76136 1.83908 1.5619 4.6058 2.5346 4.9506 3.4652 3.0286 3.9344 0.0 2.0532 2.0226 5.7632 0.73342 1.61746 3.2522 3.8102 4.6058 2.311 2.561 3.8464 4.1968 3.4022 1.336 1.89686 3.0488 5.5642 4.6058 0.0 0.0 1.97214 0.9653 1.1113 4.3744 1.1113 1.97214 4.0028 0.9653 4.3744 1.1113 1.97214 4.0028 0.9653
7 0.91512 2.3766 3.2016 1.93402 2.4506 4.2728 0.0 2.3826 4.2582 2.07 3.0726 1.12934 2.977 3.0486 3.2334 3.3174 1.90126 1.89078 2.5164 1.4464 1.31022 2.64 2.3628 3.0486 0.95746 3.5014 2.94 2.5036 3.4092 4.2728 2.8542 1.5715 4.2582 3.1262 3.1744 2.727 2.161 3.0486 1.85992 3.3618 2.3972 2.6396 2.877 2.9408 1.44572 1.03966 4.007 3.0486 0.0 0.0 3.873 3.3082 2.7162 2.8172 2.7162 3.873 2.3536 3.3082 2.8172 2.7162 3.873 2.3536 3.3082
8 2.4346 2.4982 3.5952 0.62156 2.844 4.6664 3.1166 0.0 3.3536 2.4636 3.466 1.25088 1.66462 3.1702 2.025 3.7108 0.5888 2.2844 1.52792 1.83992 1.70374 3.0334 2.7562 3.1702 2.477 3.349 1.73152 1.29506 2.2008 4.6664 3.2476 1.96504 3.3536 3.5198 3.6158 1.51856 0.84862 3.1702 2.2534 3.7554 2.8408 2.7612 1.6686 3.3344 1.83924 2.9212 3.1026 3.1702 0.0 0.0 4.2666 3.7016 3.1098 2.4256 3.1098 4.2666 2.4752 3.7016 2.4256 3.1098 4.2666 2.4752 3.7016
9 3.7272 2.0408 5.3356 2.544 4.5846 6.4068 2.9212 2.0466 0.0 4.2042 5.2066 2.9914 1.20912 1.92158 3.7654 5.4514 2.5112 4.0248 1.46442 3.5804 3.4442 4.774 4.4968 1.92158 3.7694 2.0334 2.8 2.1782 3.2694 6.4068 4.9882 3.7056 0.0 5.2604 4.4042 2.587 2.5892 1.92158 3.994 5.496 2.1374 2.0576 2.737 5.0748 3.5798 3.8516 1.26912 1.92158 0.0 0.0 6.007 5.4422 4.8502 1.11018 4.8502 6.007 2.0176 5.4422 1.11018 4.8502 6.007 2.0176 5.4422
10 2.4458 4.0014 1.25426 3.8966 0.4532 2.2756 3.1618 4.0072 5.2388 0.0 2.6672 3.092 4.7578 4.0814 4.1542 1.36998 3.864 1.89746 4.141 2.293 2.1568 2.2346 1.95742 4.0814 2.4882 4.426 3.8606 3.4242 4.33 2.2756 2.4488 2.4182 5.2388 1.12896 1.225 3.6476 4.1238 4.0814 1.86658 2.9566 3.322 3.6722 3.7978 0.94354 2.2924 3.0024 5.0398 4.0814 0.0 0.0 2.3676 1.36084 0.71884 3.8498 0.71884 2.3676 3.9782 1.36084 3.8498 0.71884 2.3676 3.9782 1.36084
