param n := 30.0;
param numVehicles := 3.0;
set Origin := 61 63 64 65;
set O := 63 64 65;
param Ok := 1 63 2 64 3 65;
set S := 71 72 73 74 75;
set F := 62 66 67 68 69 70;
param t:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75:=
1 0.0 2.2136 2.0978 2.8282 3.3324 2.6808 4.4682 4.3336 1.4024 2.0948 5.1554 3.8178 5.1554 1.95436 2.998 5.1554 5.1554 2.3544 4.3394 3.6478 0.37164 2.5836 2.7856 3.324 3.456 4.1998 1.9216 2.7732 2.9028 3.5008 2.7904 1.7677 3.5136 3.3408 1.72508 2.6808 2.6004 3.8434 1.20924 3.1232 5.1554 2.5078 5.1554 2.6278 4.328 5.1554 5.1554 2.3544 5.0108 4.3758 2.825 2.8514 4.2754 2.0668 2.2184 4.2444 0.8156 0.73592 3.8234 2.504 0.0 0.0 4.1906 3.5986 0.91352 0.91352 3.5986 4.7554 1.42796 4.1906 0.91352 3.5986 4.7554 1.42796 4.1906
2 2.4466 0.0 2.6582 1.20852 1.46472 3.1732 6.0404 5.9058 2.9746 3.2592 6.7274 5.39 6.7274 3.3006 4.5702 6.7274 6.7274 1.3008 5.9116 5.22 2.45 3.748 4.3576 3.8164 4.6204 5.772 3.268 4.3454 4.337 5.073 2.7126 0.78938 3.436 1.76396 3.0714 3.1732 2.9622 5.4156 3.2874 4.2874 6.7274 4.5858 6.7274 2.9348 5.9002 6.7274 6.7274 1.3008 6.5828 5.9478 0.88738 3.3436 5.8476 1.12108 4.2966 5.8166 1.63192 2.0222 5.3956 4.5822 0.0 0.0 5.7628 5.1708 1.8668 1.8668 5.1708 6.3276 2.7742 5.7628 1.8668 5.1708 6.3276 2.7742 5.7628
3 2.1378 2.4132 0.0 3.3458 3.602 0.9632 4.2664 4.1318 3.1878 1.04922 4.9536 3.616 4.9536 1.42788 2.7962 4.9536 4.9536 2.554 4.1376 3.446 2.1412 1.53806 2.5838 1.60642 2.4104 3.998 1.39512 2.5716 2.1272 3.299 1.2887 1.96724 2.012 3.5404 1.1986 0.9632 0.75236 3.6416 2.5946 2.0774 4.9536 2.877 4.9536 0.72482 4.1262 4.9536 4.9536 2.554 4.809 4.174 3.0246 1.13374 4.0736 2.2662 2.5686 4.0426 2.5852 2.5054 3.6216 2.8734 0.0 0.0 3.9888 3.3968 1.55802 1.55802 3.3968 4.5538 1.95148 3.9888 1.55802 3.3968 4.5538 1.95148 3.9888
4 2.9882 1.46554 3.3358 0.0 0.99826 3.8506 6.5318 6.3972 3.4662 3.9366 7.219 5.8814 7.219 3.8422 5.0618 7.219 7.219 1.97834 6.403 5.7114 2.9914 4.4256 4.8492 4.4938 5.2978 6.2636 3.8094 4.837 5.0146 5.5644 3.3902 1.46692 4.1134 1.2975 3.613 3.8506 3.6398 5.9072 3.779 4.965 7.219 5.0774 7.219 3.6122 6.3916 7.219 7.219 1.97834 7.0744 6.4394 1.56492 4.0212 6.339 1.79862 4.788 6.308 2.1234 2.5138 5.887 5.0738 0.0 0.0 6.2544 5.6624 2.5444 2.5444 5.6624 6.8192 3.3158 6.2544 2.5444 5.6624 6.8192 3.3158 6.2544
5 2.6912 1.43658 2.9028 2.1812 0.0 3.4178 6.721 6.5864 3.7592 3.5038 7.408 6.0706 7.408 3.5452 5.2508 7.408 7.408 1.5774 6.5922 5.9004 2.6946 3.9926 5.0382 4.061 4.865 6.4526 3.5126 5.026 4.5816 5.7536 2.9572 0.9906 3.6806 1.20776 3.316 3.4178 3.2068 6.0962 3.566 4.532 7.408 4.8644 7.408 3.1794 6.5806 7.408 7.408 1.5774 7.2634 6.6284 2.048 3.5882 6.5282 1.28966 4.5752 6.4972 2.6546 2.5748 6.076 4.8608 0.0 0.0 6.4434 5.8514 2.1114 2.1114 5.8514 7.0082 3.0188 6.4434 2.1114 5.8514 7.0082 3.0188 6.4434
6 2.7348 3.2142 0.9632 4.1466 4.4028 0.0 4.3206 4.186 3.5528 1.1033 5.0076 3.67 5.0076 2.2968 2.8504 5.0076 5.0076 3.355 4.1918 3.5 2.7382 1.59214 2.6378 0.73868 1.77866 4.0522 2.264 2.6256 2.1812 3.1112 0.71078 2.7682 1.4341 4.3414 2.0676 0.0 0.3048 3.6958 3.1016 1.44576 5.0076 3.274 5.0076 0.33234 4.1802 5.0076 5.0076 3.355 4.863 4.228 3.8256 0.266 4.1276 3.0672 2.6228 4.0966 3.182 3.1024 3.6756 3.2704 0.0 0.0 4.043 3.451 2.427 2.427 3.451 4.104 2.8164 4.043 2.427 3.451 4.104 2.8164 4.043
7 2.971 4.4742 2.7552 5.0826 5.587 2.1774 0.0 1.74592 2.3648 2.8194 2.7296 2.4822 2.7296 2.6788 1.66234 2.7296 2.7296 4.987 1.91372 2.002 3.0082 1.87416 1.44984 2.8206 2.9526 1.61214 2.646 1.43762 0.99322 0.91312 2.5028 4.4042 3.2262 5.6014 3.3956 2.1774 2.0968 2.5078 2.0636 2.6196 2.7296 2.156 2.7296 2.1244 1.74028 2.7296 2.7296 4.987 2.585 1.78808 5.0856 2.3478 1.8497 4.7032 1.43472 1.65672 3.07 3.3724 2.4876 2.1524 0.0 0.0 1.60298 2.263 3.55 3.55 2.263 2.1678 3.0984 1.60298 3.55 2.263 2.1678 3.0984 1.60298
8 3.1056 4.6088 2.8898 5.2174 5.7216 2.312 0.134618 0.0 2.4994 2.954 2.8642 2.6168 2.8642 2.8134 1.79696 2.8642 2.8642 5.1216 2.0484 2.1368 3.1428 2.0088 1.58446 2.9552 3.0872 1.74676 2.7808 1.57222 1.12784 1.04774 2.6374 4.5388 3.3608 5.736 3.5302 2.312 2.2314 2.6424 2.1982 2.7542 2.8642 2.2906 2.8642 2.259 1.8749 2.8642 2.8642 5.1216 2.7196 0.042158 5.2202 2.4824 1.98432 4.8378 1.56934 1.79132 3.2048 3.507 2.6222 2.287 0.0 0.0 1.7376 2.3976 3.6846 3.6846 2.3976 2.3024 3.233 1.7376 3.6846 2.3976 2.3024 3.233 1.7376
9 2.2194 3.7226 3.1548 4.3312 4.8354 3.4398 3.143 3.0084 0.0 3.1518 3.8302 2.4926 3.8302 3.0114 1.67282 3.8302 3.8302 4.2354 3.0142 2.3226 2.2566 2.6426 1.4603 4.083 4.215 2.8746 2.9786 1.44808 2.2556 2.1756 3.7652 3.6526 4.4886 4.8498 2.782 3.4398 3.3592 2.5182 1.31204 3.882 3.8302 2.5646 3.8302 3.3868 3.0028 3.8302 3.8302 4.2354 3.6856 3.0506 4.334 3.6104 2.9502 3.9518 1.8432 2.9192 2.3186 2.6208 2.4982 2.5608 0.0 0.0 2.8654 2.2734 2.7984 2.7984 2.2734 3.4302 2.485 2.8654 2.7984 2.2734 3.4302 2.485 2.8654
10 3.0522 3.5314 1.28052 4.464 4.7202 0.7026 4.0638 3.9292 3.87 0.0 4.913 3.9874 4.913 2.6142 3.1676 4.913 4.913 3.6722 4.097 3.8174 3.0554 1.90946 2.9552 1.34582 1.4778 3.7954 2.5814 2.943 2.4986 2.8104 1.0281 3.0854 1.75142 4.6586 2.3848 0.7026 0.62212 4.013 3.4188 1.1449 4.913 3.5914 4.913 0.64964 3.9236 4.913 4.913 3.6722 4.7104 3.9714 4.1428 0.87314 4.033 3.3846 2.94 3.84 3.4994 3.4196 3.993 3.5878 0.0 0.0 3.7862 3.7682 2.7442 2.7442 3.7682 3.9092 3.1338 3.7862 2.7442 3.7682 3.9092 3.1338 3.7862
