param n := 36.0;
param numVehicles := 3.0;
set Origin := 73 75 76 77;
set O := 75 76 77;
param Ok := 1 75 2 76 3 77;
set S := 83 84 85 86 87;
set F := 74 78 79 80 81 82;
param t:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87:=
1 0.0 2.8798 1.93156 2.4938 2.0344 4.739 3.2248 1.82008 3.6384 4.194 2.3042 6.18 6.5852 0.68172 6.8738 2.5134 1.91114 1.97236 4.2556 5.172 4.9318 4.504 4.3306 5.9182 1.53486 3.356 2.9782 3.4548 3.9112 4.1814 5.241 5.0816 5.9414 2.5456 1.5603 2.3886 2.8098 6.2326 1.9321 2.7782 3.775 2.636 3.0318 1.82008 1.8682 4.2364 1.96282 4.7676 4.4166 0.90662 6.8738 4.1724 1.91114 4.3068 3.2528 3.4872 3.5152 5.9938 4.0408 5.9628 4.089 2.4694 2.6042 4.6296 4.0466 4.1814 4.3186 3.1052 6.0388 1.765 2.5152 2.3886 0.0 0.0 6.474 2.4846 2.4846 1.57714 5.3172 6.474 2.4846 5.9092 1.57714 5.3172 6.474 2.4846 5.9092
2 3.6572 0.0 2.5998 3.6102 2.0448 2.7292 2.2832 2.5584 2.8526 1.50638 1.58256 4.1704 4.5754 2.7922 4.8642 1.54578 3.4214 4.4206 2.3158 3.1624 2.9222 2.4942 3.545 3.9086 3.0532 2.4142 2.0106 2.6692 1.90148 1.49368 3.2312 3.1512 3.9316 3.7708 3.0786 2.212 2.024 4.223 3.4424 3.4464 2.9894 1.31024 0.34402 2.5584 2.5366 1.54874 2.7012 2.7578 2.4068 3.253 4.8642 2.1628 3.4214 2.297 2.531 2.7016 2.1736 3.9842 1.35318 3.9532 2.0792 3.9796 1.88254 2.62 2.037 1.49368 1.63092 2.3836 4.261 4.5612 2.5256 2.212 0.0 0.0 4.4642 1.5169 1.5169 1.98046 3.3074 4.4642 1.5169 3.8994 1.98046 3.3074 4.4642 1.5169 3.8994
3 1.80906 2.292 0.0 2.156 1.6967 3.9452 2.8872 1.48232 2.8446 3.6064 1.9665 5.3862 5.7914 0.94414 6.08 1.82972 1.57338 2.6426 3.4618 4.3782 4.1382 3.7102 3.5368 5.1246 1.0531 3.0182 2.2944 2.661 3.1174 3.5936 4.4472 4.3672 5.1476 2.2408 1.07854 2.0508 2.016 5.439 1.59434 1.98434 2.9812 1.9522 2.444 1.48232 1.07444 3.6486 1.62506 3.9738 4.0788 1.40486 6.08 3.3788 1.57338 3.513 2.915 2.6936 2.9274 5.2002 3.4532 5.1692 3.7512 2.1316 2.2664 3.8358 3.253 3.5936 3.7308 2.7674 5.245 2.7132 1.83154 2.0508 0.0 0.0 5.6802 1.80084 1.80084 1.23938 4.5234 5.6802 1.80084 5.1154 1.23938 4.5234 5.6802 1.80084 5.1154
4 1.21656 2.8674 1.9533 0.0 2.0562 4.3248 2.7066 1.39222 3.6602 4.1818 2.326 5.7658 6.171 1.37964 6.4596 2.5352 1.03288 1.7301 4.2774 4.7578 4.5176 4.0898 4.3524 5.504 2.4066 2.8376 3.0 3.4766 3.933 4.1692 4.8266 4.5634 5.527 1.3282 2.432 1.42428 2.8316 5.8184 0.68184 2.7998 3.7968 2.6576 3.0194 1.39222 1.88994 4.2242 1.2495 4.3534 3.8984 1.84036 6.4596 4.1942 1.03288 4.3284 2.7344 3.509 3.503 5.5796 4.0286 5.5486 3.5706 1.2191 1.36398 4.2154 4.0684 4.1692 4.3064 1.86496 5.8566 1.80074 2.537 1.42428 0.0 0.0 6.0598 2.5064 2.5064 1.59888 4.9028 6.0598 2.5064 5.4948 1.59888 4.9028 6.0598 2.5064 5.4948
5 2.984 1.18294 1.77474 3.143 0.0 3.1282 1.92808 1.99526 2.0276 2.4972 1.11544 4.5692 4.9744 2.119 5.263 0.72066 2.7484 3.8176 2.6448 3.5612 3.321 2.8932 2.7198 4.3074 2.228 2.059 1.18542 1.84402 2.3004 2.4846 3.63 3.5502 4.3304 3.3036 2.2534 1.74484 1.19896 4.6218 2.7692 2.6212 2.1642 0.84314 1.33492 1.99526 1.71138 2.5396 2.138 3.1568 3.1198 2.5798 5.263 2.5616 2.7484 2.696 2.0638 1.87646 1.81838 4.383 2.344 4.352 2.7922 3.3066 1.41542 3.0188 2.4358 2.4846 2.6218 1.9164 4.586 3.8882 0.72248 1.74484 0.0 0.0 4.8632 0.69178 0.69178 1.51334 3.7064 4.8632 0.69178 4.2984 1.51334 3.7064 4.8632 0.69178 4.2984
6 4.9058 2.7388 3.4486 4.5328 3.3494 0.0 2.1 3.8632 1.99542 1.32314 2.559 2.861 3.2662 4.097 3.5548 2.8626 4.7222 5.3434 1.08064 1.85306 0.19291 1.18502 2.6876 2.5994 4.3618 2.231 2.3812 1.60588 0.59222 1.74242 0.66996 1.84196 2.6224 4.6936 3.5214 3.5166 2.3948 2.9136 4.3712 2.5932 2.132 2.627 1.79876 3.8632 3.3852 1.36548 4.0058 1.44864 2.2236 4.5576 3.5548 0.85352 4.7222 1.06178 2.3718 1.63832 1.99024 2.6748 1.16992 2.644 1.89598 4.9084 2.8052 1.31066 0.72774 1.74242 1.87966 2.5926 2.9518 5.49 3.8304 3.5166 0.0 0.0 3.155 2.8336 2.8336 3.2852 1.99818 3.155 2.8336 2.5902 3.2852 1.99818 3.155 2.8336 2.5902
7 4.4192 2.252 3.5678 4.0462 2.8628 1.69528 0.0 3.3764 3.5226 1.9964 2.0722 3.1364 3.5416 3.6102 3.8302 2.5138 4.2354 4.8566 2.608 2.1284 1.88818 1.4603 4.215 2.8746 4.0212 1.74422 2.9786 3.1332 2.1196 2.4156 2.1972 2.1172 2.8976 4.2068 4.0466 3.03 2.992 3.189 3.8844 4.1204 3.6594 2.2782 1.31204 3.3764 3.5046 2.0388 3.5192 1.72392 1.26888 4.071 3.8302 2.3808 4.2354 2.589 1.88502 3.1656 1.50352 2.9502 1.8432 2.9192 0.94126 4.4216 2.3186 1.58594 2.255 2.4156 2.553 2.106 3.2272 5.0034 3.3436 3.03 0.0 0.0 3.4302 2.485 2.485 2.7984 2.2734 3.4302 2.485 2.8654 2.7984 2.2734 3.4302 2.485 2.8654
8 1.81566 2.2142 1.962 2.0246 1.36892 4.1774 2.5594 0.0 3.1548 3.5286 1.63872 5.6184 6.0236 1.38836 6.3122 1.84794 1.47198 2.5532 3.772 4.6104 4.3704 3.9424 3.8472 5.3568 2.4154 2.6904 2.3128 2.9714 3.4276 3.5158 4.6794 4.4162 5.3798 2.1514 2.4408 1.08738 2.3262 5.6712 1.50494 2.8086 3.2916 1.9704 2.3662 0.0 1.89866 3.5708 0.142724 4.206 3.751 1.84908 6.3122 3.689 1.47198 3.8232 2.5872 3.0038 2.8496 5.4324 3.3754 5.4014 3.4234 2.0422 1.4971 4.068 3.5632 3.5158 3.653 1.99808 5.7092 2.6238 1.84976 1.08738 0.0 0.0 5.9124 1.81906 1.81906 0.91158 4.7556 5.9124 1.81906 5.3476 0.91158 4.7556 5.9124 1.81906 5.3476
9 3.4554 2.8142 1.78606 3.8024 2.749 2.7374 3.4174 2.5346 0.0 2.6406 2.7468 4.1786 4.3696 2.5904 4.8724 1.66398 3.2196 4.2888 1.8581 3.1706 2.9304 2.5024 1.93316 3.9168 2.6994 3.5484 2.1288 1.45334 1.90968 2.9898 3.2394 3.1594 3.9398 3.887 1.8588 3.103 0.80828 4.2312 3.2406 0.9306 1.37754 2.4744 2.9662 2.5346 1.7227 2.683 2.6774 2.7662 3.541 3.0512 4.8724 2.171 3.2196 2.0612 3.6892 1.48578 3.3078 3.9924 2.4874 3.9614 3.2134 3.7778 3.0468 2.6282 2.0452 2.9898 3.1272 3.5478 3.6934 4.3594 2.7158 3.103 0.0 0.0 4.2584 2.681 2.681 2.2916 3.3156 4.2584 2.681 3.9076 2.2916 3.3156 4.2584 2.681 3.9076
10 5.2762 3.1572 4.513 4.9032 3.7678 1.48036 1.7663 4.2814 3.3078 0.0 2.9772 2.9214 3.3266 4.5154 3.6152 3.4588 5.0926 5.7138 2.393 1.91344 1.67328 1.2454 4.0 2.6596 4.9662 1.89732 3.1996 2.9182 1.9046 2.2008 1.98232 1.90234 2.6828 5.0638 4.6038 3.935 3.2132 2.974 4.7416 3.9056 3.4444 3.2234 2.2572 4.2814 4.4496 0.042342 4.4242 1.509 1.05398 4.976 3.6152 2.1658 5.0926 2.3742 2.0674 2.9506 2.4486 2.7352 1.62828 2.7042 0.72636 5.2788 3.1756 1.37104 2.0402 2.2008 2.338 2.963 3.0122 5.8604 4.2488 3.935 0.0 0.0 3.2154 3.43 3.43 3.7036 2.0586 3.2154 3.43 2.6506 3.7036 2.0586 3.2154 3.43 2.6506
