param n := 16.0;
param numVehicles := 4.0;
set Origin := 33 35 36 37 38;
set O := 35 36 37 38;
param Ok := 1 35 2 36 3 37 4 38;
set S := 44 45 46 47 48;
set F := 34 39 40 41 42 43;
param t:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48:=
1 0.0 2.6484 3.4146 5.277 5.1214 1.37912 3.3628 6.4044 6.5974 4.9314 7.0988 2.4356 4.1954 4.605 0.7436 5.7422 2.3906 3.878 1.89454 6.0968 3.4412 2.5412 1.57516 6.4044 5.6302 2.7538 6.7842 1.9343 4.0134 2.635 2.0274 3.6606 0.0 0.0 1.02124 1.02124 4.6438 1.6064 5.0154 1.75242 1.02124 4.6438 1.6064 5.0154 1.75242 1.02124 4.6438 1.6064
2 5.3524 0.0 0.92038 3.5208 3.4572 3.2788 3.1826 4.7922 5.363 3.1752 5.4346 2.5192 1.7012 2.8486 3.7434 4.0858 3.5124 1.38378 3.5376 4.8566 3.261 3.6628 3.345 4.7922 3.874 2.4676 5.5498 3.056 1.6852 3.7566 3.1492 1.1663 0.0 0.0 4.021 4.021 2.8876 3.5182 3.3512 3.5222 4.021 2.8876 3.5182 3.3512 3.5222 4.021 2.8876 3.5182
3 4.6226 1.24834 0.0 2.7908 2.7274 2.549 2.4528 4.0622 4.6332 2.4454 4.7048 1.7894 1.85934 2.1188 3.0134 3.356 2.7824 0.65392 2.8078 4.1268 2.531 2.933 2.615 4.0622 3.1442 1.73766 4.82 2.3262 1.52734 3.0268 2.4194 1.52044 0.0 0.0 3.2912 3.2912 2.1578 2.7882 2.6214 2.7924 3.2912 2.1578 2.7882 2.6214 2.7924 3.2912 2.1578 2.7882
4 6.9934 4.1352 4.2394 0.0 1.37424 4.858 3.4956 1.5552 2.4442 2.0702 2.1976 4.3844 2.6942 1.74372 5.3844 1.5269 4.0854 3.6928 4.3968 1.61964 3.574 4.236 4.328 1.5552 0.87302 3.4506 2.631 4.039 2.3622 3.7706 4.1322 3.0274 0.0 0.0 5.662 5.662 1.78266 5.0972 1.2212 4.5052 5.662 1.78266 5.0972 1.2212 4.5052 5.662 1.78266 5.0972
5 6.1512 3.2932 3.5554 1.74966 0.0 4.0158 2.8236 2.705 3.594 0.93608 3.3474 3.5422 2.5242 0.60958 4.5422 2.1248 3.4132 2.8508 3.6786 2.7696 2.9018 3.5638 3.4858 2.705 2.0228 2.6084 3.7808 3.197 2.1922 3.6576 3.2902 2.1852 0.0 0.0 4.8198 4.8198 0.64852 4.255 1.70906 3.663 4.8198 0.64852 4.255 1.70906 3.663 4.8198 0.64852 4.255
6 2.6772 3.2392 4.0052 5.0556 4.9 0.0 3.1416 6.183 6.376 4.71 6.8774 2.2142 4.124 4.3836 1.33426 5.5208 2.1692 4.4506 1.67318 5.8754 3.2198 2.3198 1.3538 6.183 5.4088 2.5324 6.5628 1.71294 3.7922 2.4136 1.80614 3.7852 0.0 0.0 1.61188 1.61188 4.4226 1.38506 4.794 1.53106 1.61188 4.4226 1.38506 4.794 1.53106 1.61188 4.4226 1.38506
7 4.9912 4.241 5.0072 4.5976 3.474 3.6378 0.0 4.757 4.95 3.784 5.4514 3.1642 5.074 3.4576 3.6482 4.0948 0.7432 5.4006 1.4965 4.4494 0.078326 0.89374 2.0998 4.757 4.8708 3.4824 5.1368 1.8109 4.742 0.98752 1.6241 4.7352 0.0 0.0 3.9258 3.9258 3.4964 2.919 3.368 2.277 3.9258 3.4964 2.919 3.368 2.277 3.9258 3.4964 2.919
8 7.3384 4.4802 4.5844 1.48278 1.60922 5.203 3.3846 0.0 2.4092 2.3052 2.1626 4.7294 3.0392 1.9787 5.7294 1.49188 3.9744 4.0378 4.2856 1.58462 3.463 4.125 4.673 0.0 1.756 3.7956 2.5958 4.384 2.7072 3.6596 4.4132 3.3724 0.0 0.0 6.007 6.007 2.0176 5.4422 1.11018 4.8502 6.007 2.0176 5.4422 1.11018 4.8502 6.007 2.0176 5.4422
9 8.0982 5.676 5.7802 2.6784 2.805 5.9626 4.0404 1.73988 0.0 3.501 1.7343 5.489 4.235 3.1744 6.489 1.71158 4.63 5.2336 4.9414 1.43232 4.1186 4.7806 5.4326 1.73988 2.3216 4.9912 1.6774 5.1438 3.903 4.3154 5.069 4.568 0.0 0.0 6.7668 6.7668 3.2134 6.2018 2.3058 5.6098 6.7668 3.2134 6.2018 2.3058 5.6098 6.7668 3.2134 6.2018
10 5.9946 3.1364 3.9026 2.485 1.95342 3.8592 2.0408 3.2884 3.8594 0.0 3.9308 3.3856 3.2594 1.3449 4.3856 2.5822 2.6306 3.586 3.3838 3.3528 2.1192 2.7812 3.3292 3.2884 2.7582 2.4518 4.0462 3.0402 2.9274 2.875 3.1334 2.9206 0.0 0.0 4.6632 4.6632 1.38386 4.0984 1.84742 3.5064 4.6632 1.38386 4.0984 1.84742 3.5064 4.6632 1.38386 4.0984
