param n := 24.0;
param numVehicles := 4.0;
set Origin := 49 51 52 53 54;
set O := 51 52 53 54;
param Ok := 1 51 2 52 3 53 4 54;
set S := 60 61 62 63 64;
set F := 50 55 56 57 58 59;
param t:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64:=
1 0.0 2.7812 4.9474 2.0594 7.8732 2.0594 2.5068 5.0338 8.0914 2.0762 4.9194 5.0034 4.1206 2.772 3.8488 1.781 4.4094 4.8194 1.86582 6.2392 6.8104 6.7504 4.7698 5.9318 1.34582 3.2222 6.5436 2.0594 3.7094 2.0594 3.503 4.9958 1.57372 0.71354 4.092 3.2306 3.0802 1.1066 4.9982 1.75702 2.6818 0.77726 3.7726 6.2392 6.4678 5.7794 2.9576 5.0562 0.0 0.0 6.13 2.42 5.538 3.1914 2.42 5.538 6.6948 3.1914 6.13 2.42 5.538 6.6948 3.1914 6.13
2 3.8674 0.0 4.5324 4.0322 8.08 4.0322 1.4916 5.2406 8.2984 2.801 4.5042 5.3784 3.7054 2.3568 5.3756 2.5058 3.9942 4.4042 2.6666 6.446 7.0174 6.9574 4.9546 6.1386 3.0866 3.813 6.1284 4.0322 4.4804 4.0322 4.0938 5.1806 4.1586 3.7726 5.461 3.8216 4.017 3.5334 6.2408 2.2118 3.4066 3.7088 3.3576 6.446 6.4428 5.9862 3.9786 5.431 0.0 0.0 6.3368 3.2208 5.7448 3.7822 3.2208 5.7448 6.9016 3.7822 6.3368 3.2208 5.7448 6.9016 3.7822 6.3368
3 4.0314 3.4832 0.0 2.8546 4.9012 2.8546 3.5968 2.0618 5.1194 3.3102 1.65332 2.1994 3.9146 2.966 1.9448 3.015 2.7454 1.55332 3.0998 3.2672 3.8384 3.7784 0.61384 2.9598 4.8278 3.1682 3.6636 2.8546 2.2834 2.8546 2.263 1.27174 4.2918 4.3576 1.12006 3.1766 2.2942 3.6666 2.91 3.525 3.9158 4.4212 3.5666 3.2672 3.4958 2.8074 1.53168 2.2522 0.0 0.0 3.158 2.623 2.566 2.3094 2.623 2.566 3.7228 2.3094 3.158 2.623 2.566 3.7228 2.3094 3.158
4 2.4524 3.0092 3.4616 0.0 6.4384 0.0 2.7348 3.599 6.6566 1.83222 3.4334 3.5686 3.8766 2.528 2.414 1.53708 2.9234 3.3334 1.6219 4.8044 5.3756 5.3156 3.3218 4.497 2.932 1.6902 5.2158 0.0 2.2616 0.0 1.9711 3.5478 2.3958 2.7788 2.6572 1.69872 1.54822 1.77066 3.5634 2.047 2.4378 2.8424 3.5288 4.8044 5.033 4.3446 1.50974 3.6214 0.0 0.0 4.6952 1.14506 4.1032 1.6595 1.14506 4.1032 5.26 1.6595 4.6952 1.14506 4.1032 5.26 1.6595 4.6952
5 6.5288 5.4846 2.749 5.4 0.0 5.4 5.6962 3.4572 0.21828 5.8556 4.1908 2.187 5.056 4.9674 3.035 5.5604 3.8868 2.6208 5.6452 0.51962 0.97392 1.22992 3.2392 1.56126 7.3252 5.7136 3.941 5.4 4.829 5.4 4.7504 3.8972 6.7892 6.855 3.6396 5.7222 4.8396 6.164 2.4014 6.0704 6.4612 6.9188 4.7082 0.51962 2.5674 2.1468 4.0772 2.2396 0.0 0.0 1.75944 5.1684 1.90544 4.7968 5.1684 1.90544 1.17426 4.7968 1.75944 5.1684 1.90544 1.17426 4.7968 1.75944
6 2.4524 3.0092 3.4616 0.0 6.4384 0.0 2.7348 3.599 6.6566 1.83222 3.4334 3.5686 3.8766 2.528 2.414 1.53708 2.9234 3.3334 1.6219 4.8044 5.3756 5.3156 3.3218 4.497 2.932 1.6902 5.2158 0.0 2.2616 0.0 1.9711 3.5478 2.3958 2.7788 2.6572 1.69872 1.54822 1.77066 3.5634 2.047 2.4378 2.8424 3.5288 4.8044 5.033 4.3446 1.50974 3.6214 0.0 0.0 4.6952 1.14506 4.1032 1.6595 1.14506 4.1032 5.26 1.6595 4.6952 1.14506 4.1032 5.26 1.6595 4.6952
7 2.9868 0.40056 3.167 2.7968 6.7146 2.7968 0.0 3.8752 6.9328 1.56558 3.1388 4.0128 2.34 0.9914 4.1402 1.27042 2.6288 3.0388 1.43124 5.0806 5.6518 5.5918 3.5892 4.7732 2.8052 2.5776 4.763 2.7968 3.245 2.7968 2.8584 3.8152 2.9232 3.313 4.0954 2.586 2.7816 2.298 4.8754 1.78044 2.1712 3.3766 1.9921 5.0806 5.0774 4.6208 2.743 4.0656 0.0 0.0 4.9714 1.9854 4.3794 2.5468 1.9854 4.3794 5.5362 2.5468 4.9714 1.9854 4.3794 5.5362 2.5468 4.9714
8 4.8176 4.8754 2.3698 3.6888 3.4036 3.6888 4.873 0.0 3.6218 4.1444 3.0456 0.4758 4.6768 4.3584 1.32382 3.8494 3.5076 2.2416 3.9342 1.54348 2.3408 2.5468 2.0062 1.28614 5.6142 4.0024 4.426 3.6888 3.1178 3.6888 3.5394 2.664 5.078 5.1438 1.92838 4.011 3.1284 4.453 1.33832 4.3594 4.75 5.2076 4.329 1.54348 3.2602 1.08368 2.366 0.52844 0.0 0.0 1.4843 3.4574 0.84232 3.5858 3.4574 0.84232 2.4912 3.5858 1.4843 3.4574 0.84232 2.4912 3.5858 1.4843
9 6.3104 5.2664 2.5306 5.1816 1.81836 5.1816 5.478 3.239 0.0 5.6374 3.9724 1.96866 4.8378 4.7492 2.8166 5.3422 3.6686 2.4026 5.427 0.30134 0.75566 1.01164 3.021 1.343 7.107 5.4954 3.7228 5.1816 4.6106 5.1816 4.5322 3.679 6.571 6.6368 3.4212 5.5038 4.6214 5.9458 2.1832 5.8522 6.243 6.7004 4.4898 0.30134 2.349 1.92852 3.8588 2.0214 0.0 0.0 1.54116 4.9502 1.68716 4.5786 4.9502 1.68716 0.956 4.5786 1.54116 4.9502 1.68716 0.956 4.5786 1.54116
10 1.97062 2.7024 4.3968 1.9707 7.9446 1.9707 2.428 5.1052 8.1628 0.0 4.3686 5.1788 3.5698 2.2214 4.0242 1.23032 3.8586 4.2686 1.31516 6.3104 6.8818 6.8218 4.4392 6.0032 2.4432 2.8074 5.993 1.9707 3.3788 1.9707 3.0884 4.665 1.90706 2.2968 4.2674 2.816 2.6654 1.28192 5.1734 1.74036 0.6056 2.3606 3.222 6.3104 6.3072 5.8506 2.627 5.2314 0.0 0.0 6.2012 1.8693 5.6094 2.7768 1.8693 5.6094 6.7662 2.7768 6.2012 1.8693 5.6094 6.7662 2.7768 6.2012
