param n := 32.0;
param numVehicles := 4.0;
set Origin := 65 67 68 69 70;
set O := 67 68 69 70;
param Ok := 1 67 2 68 3 69 4 70;
set S := 76 77 78 79 80;
set F := 66 71 72 73 74 75;
param t:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80:=
1 0.0 1.86362 0.9797 4.468 3.046 1.57102 2.0296 3.5986 3.176 3.0968 2.281 5.2284 2.2864 3.7294 1.71264 3.0968 3.0216 3.4448 0.99292 4.1488 3.2214 2.8952 0.09881 4.994 1.47172 2.863 2.2378 3.6284 1.36042 2.3744 4.2352 1.30198 0.122486 2.928 5.5058 2.8752 2.4916 1.77672 0.22696 5.225 5.5906 3.0968 2.9522 4.816 2.28 5.771 3.0038 3.0968 4.489 1.68768 2.6222 4.1488 1.77394 4.8982 2.024 2.528 2.4244 5.5404 1.94268 2.865 2.8548 2.3744 4.4958 2.5116 0.0 0.0 2.6302 3.4656 2.6302 2.535 3.9172 2.6302 2.535 3.4656 1.97018 3.9172 2.6302 2.535 3.4656 1.97018
2 0.0169138 0.0 0.99662 4.4848 3.063 1.58792 2.0464 3.6154 3.1928 3.1138 2.2978 5.2454 2.3032 3.7464 1.72956 3.1138 3.0384 3.4616 1.00984 4.1656 3.2384 2.9122 0.115722 5.0108 1.48862 2.8798 2.2548 3.6454 1.37734 2.3914 4.2522 1.31888 0.1394 2.945 5.5228 2.892 2.5084 1.79364 0.24388 5.2418 5.6074 3.1138 2.9692 4.8328 2.297 5.7878 3.0206 3.1138 4.506 1.70458 2.6392 4.1656 1.79086 4.9152 2.0408 2.545 2.4412 5.5574 1.9596 2.882 2.8718 2.3914 4.5126 2.5286 0.0 0.0 2.6472 3.4826 2.6472 2.552 3.9342 2.6472 2.552 3.4826 1.9871 3.9342 2.6472 2.552 3.4826 1.9871
3 2.3924 2.3756 0.0 4.2538 2.666 2.083 1.2895 2.8586 2.4358 3.4468 2.6308 4.4884 1.54624 2.9894 2.2246 3.4468 3.5334 2.8428 1.50486 3.4086 3.7334 3.4032 2.4912 4.3998 1.98366 2.1228 2.7498 3.0264 0.62036 1.63438 3.4952 0.32228 2.515 3.44 4.7658 3.3872 3.0034 2.2886 2.6194 4.4848 4.8504 3.4468 3.3022 4.0758 1.54 5.177 2.2638 3.4468 3.749 2.1996 1.8822 3.4086 1.03388 4.3042 2.5358 1.78794 2.9362 4.8004 1.20262 3.377 2.1148 1.63438 4.2816 1.77162 0.0 0.0 1.89014 2.8636 1.89014 3.047 3.1772 1.89014 3.047 2.8636 2.4822 3.1772 1.89014 3.047 2.8636 2.4822
4 6.3866 6.3698 5.4858 0.0 3.8282 4.7512 5.2836 4.1086 6.338 7.441 6.625 1.88052 4.7124 4.2976 4.8228 7.441 3.1416 3.2808 5.499 4.1716 4.7996 3.1694 6.4854 1.42202 5.9778 5.139 4.022 3.0606 4.6146 5.1286 4.7934 5.808 6.5092 3.8342 4.04 5.3932 3.2122 4.9568 6.6136 1.87702 3.9732 7.441 7.2964 3.152 4.7062 2.199 5.0358 7.441 4.2312 6.1938 5.0484 4.1716 5.028 2.7284 6.53 5.7142 5.6044 4.0746 5.1968 3.7712 6.109 5.1286 0.147844 5.2658 0.0 0.0 5.8844 3.9218 5.8844 7.0412 3.3602 5.8844 7.0412 3.9218 6.4762 3.3602 5.8844 7.0412 3.9218 6.4762
5 4.1074 4.0904 3.2066 1.83878 0.0 2.4718 3.0044 2.7054 4.1508 5.1618 4.3458 2.7552 3.1412 2.8944 2.5436 5.1618 1.64842 1.27964 3.2198 2.7684 2.5204 0.89016 4.2062 2.3648 3.6986 3.7178 1.74276 1.05928 2.3352 3.1272 3.7102 3.5288 4.2298 1.55488 3.4088 3.272 0.933 2.6776 4.3344 2.7518 3.8174 5.1618 5.0172 2.3428 3.135 3.1418 3.6326 5.1618 2.828 3.9146 3.4772 2.7684 2.7488 2.2692 4.2508 3.5028 3.3252 3.4432 2.9176 1.49196 3.8298 3.1272 1.8666 3.2646 0.0 0.0 3.605 2.3506 3.605 4.7618 1.95704 3.605 4.7618 2.3506 4.197 1.95704 3.605 4.7618 2.3506 4.197
6 2.323 2.306 1.13608 4.6084 3.1864 0.0 2.186 3.751 3.3322 3.5392 2.7234 5.3808 2.4426 3.8818 1.85302 3.5392 3.162 3.5852 2.4014 4.301 2.2778 3.0356 2.4218 5.1342 1.6281 3.0194 2.3782 3.7688 1.5168 2.5308 4.3916 1.45836 2.4454 3.0684 5.6622 1.41354 2.632 0.3151 2.5498 5.3772 5.747 3.5392 3.3946 4.9684 2.4364 5.9114 3.1602 3.5392 4.6454 2.13 2.7786 4.301 1.93032 5.0386 2.4662 2.6844 0.96272 5.6968 2.099 2.4334 3.0112 2.5308 4.6362 2.668 0.0 0.0 2.7866 3.606 2.7866 2.9154 4.0696 2.7866 2.9154 3.606 2.4126 4.0696 2.7866 2.9154 3.606 2.4126
7 1.22848 1.21158 1.86966 5.3258 3.854 2.461 0.0 3.4886 1.73786 2.2328 1.41688 5.1184 2.6182 3.6194 2.6026 2.2328 3.9116 3.9148 1.88288 4.0386 4.1114 3.7852 1.3273 5.4718 2.3616 2.001 3.1278 4.0984 2.2504 2.8224 4.0772 2.192 1.35098 3.818 5.3478 3.7652 3.3816 2.6666 1.45544 5.1148 5.4324 2.2328 2.0882 4.706 2.612 6.249 2.171 2.2328 4.331 2.5776 2.9542 4.0386 1.8239 5.3762 2.9138 1.34796 3.3142 5.3824 1.42464 3.755 0.90084 2.8224 5.3536 2.9596 0.0 0.0 0.67616 3.9356 0.67616 2.325 3.8072 0.67616 2.325 3.9356 1.31814 3.8072 0.67616 2.325 3.9356 1.31814
8 4.5634 4.5464 3.6626 2.7748 2.1228 3.4778 3.4604 0.0 3.1948 5.6178 4.8018 2.3932 2.2912 0.4323 3.5494 5.6178 3.1104 1.5756 3.6758 0.85154 3.5264 2.8542 4.6622 2.9208 4.1546 1.99578 2.7488 1.75926 3.3412 3.2932 1.3201 3.9848 4.6858 3.2328 2.5906 4.278 2.7964 3.6836 4.7904 2.3898 2.6754 5.6178 5.473 1.79478 2.2848 3.6978 1.8926 5.6178 1.57388 4.3706 2.627 0.85154 3.2048 2.825 4.7068 2.7288 4.3312 2.6252 3.3736 3.17 4.2858 3.2932 2.8026 3.4306 0.0 0.0 4.061 1.59648 4.061 5.2178 1.08204 4.061 5.2178 1.59648 4.653 1.08204 4.061 5.2178 1.59648 4.653
9 1.64074 1.62382 1.8979 4.9422 3.4702 2.4892 1.69576 3.1048 0.0 2.645 1.82914 4.7346 2.2346 3.2356 2.6308 2.645 3.9398 3.531 1.91112 3.655 4.1396 3.8134 1.73954 5.0882 2.39 1.61716 3.156 3.7146 2.2786 2.4386 3.6934 2.2202 1.76322 3.8462 4.964 3.7934 3.4098 2.695 1.8677 4.7312 5.0488 2.645 2.5004 4.3222 2.2282 5.8652 1.7872 2.645 3.9472 2.6058 2.5704 3.655 1.44014 4.9924 2.9422 0.9642 3.3426 4.9986 1.60888 3.7832 1.31308 2.4386 4.97 2.5758 0.0 0.0 1.0884 3.5518 1.0884 2.7372 3.4234 1.0884 2.7372 3.5518 1.73038 3.4234 1.0884 2.7372 3.5518 1.73038
10 0.87564 0.85872 1.5168 5.005 3.5832 2.1082 1.15866 4.0556 2.305 0.0 1.06404 5.6856 2.8234 4.1866 2.2498 0.0 3.5586 3.9818 1.53004 4.6058 3.7586 3.4324 0.97446 5.531 2.0088 2.568 2.775 4.1656 1.89754 2.9116 4.6444 1.83908 0.99812 3.4652 5.915 3.4122 3.0286 2.3138 1.1026 5.682 5.9996 0.0 1.73536 5.273 2.8172 6.308 2.7382 0.0 4.8982 2.2248 3.1594 4.6058 2.311 5.4354 2.561 1.91512 2.9614 5.9496 1.0718 3.4022 1.336 2.9116 5.0328 3.0488 0.0 0.0 1.1113 4.0028 1.1113 1.97214 4.3744 1.1113 1.97214 4.0028 0.9653 4.3744 1.1113 1.97214 4.0028 0.9653
