param n := 40.0;
param numVehicles := 4.0;
set Origin := 81 83 84 85 86;
set O := 83 84 85 86;
param Ok := 1 83 2 84 3 85 4 86;
set S := 92 93 94 95 96;
set F := 82 87 88 89 90 91;
param t:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96:=
1 0.0 3.6526 2.1644 4.1638 2.4154 2.9326 2.326 2.3518 3.7912 2.9718 3.4948 3.9124 3.8174 3.5432 3.7158 4.1118 2.3722 0.56894 3.0452 3.7958 3.3238 1.9635 1.81302 2.417 2.5264 0.93576 2.5858 2.9478 1.98546 1.42162 1.77154 2.2786 2.5778 3.9936 2.6166 2.9554 2.9848 5.7266 2.9886 4.4368 1.15636 2.7768 3.2104 3.857 3.5316 2.6268 4.012 1.00412 2.6042 0.4003 2.9194 2.741 2.1052 4.4582 4.0578 4.0306 4.0044 1.98056 3.0814 2.453 3.0536 3.2452 3.3364 4.2542 2.3436 3.3282 2.0464 2.9608 2.4656 3.0658 4.024 3.3632 3.111 3.1472 3.9616 1.87482 1.95192 4.1514 2.9278 3.3904 0.0 0.0 1.93414 4.4156 3.8506 3.2586 2.2476 3.2586 4.4156 1.93414 3.8506 2.2476 3.2586 4.4156 1.93414 3.8506
2 2.0166 0.0 3.9424 3.6298 1.50334 4.7106 3.036 2.5638 5.5692 2.4518 2.9608 3.3784 5.5956 5.1752 2.1058 3.5778 4.1502 2.347 2.1334 2.966 1.55182 3.7416 3.591 3.1272 2.0064 2.7138 1.67384 1.17582 3.7634 3.1996 3.4116 4.0566 1.59188 3.4636 2.0966 2.2154 2.465 3.9546 4.6206 2.6648 2.9344 2.4248 2.6764 5.635 3.0016 3.321 4.778 2.7822 2.0842 2.1784 4.5514 4.519 3.8832 6.2362 3.5278 3.5006 3.0924 3.7586 4.7136 4.093 2.7016 2.7252 5.1144 6.0322 2.7936 5.1062 3.8244 2.4408 1.47962 2.5318 2.252 5.1412 4.889 2.6392 2.3518 3.0626 2.9854 2.5416 4.5598 1.61836 0.0 0.0 3.5742 2.6436 2.0786 2.7388 4.0258 2.7388 2.6436 3.5742 2.0786 4.0258 2.7388 2.6436 3.5742 2.0786
3 2.5978 4.2478 0.0 3.069 2.5446 2.2658 3.3394 2.209 3.5864 3.567 2.4 2.8176 3.0248 2.4484 4.311 3.0172 0.44946 2.9282 3.1746 4.3912 3.919 1.37676 1.44228 3.4304 3.1216 1.74308 2.715 3.543 1.39872 2.1428 0.67678 2.0738 2.7072 2.8988 3.2118 1.86058 3.5802 6.3218 1.89382 5.0322 1.29362 3.54 2.1156 3.4402 2.4368 1.53214 2.9172 2.0174 3.1994 2.7596 1.82472 1.94822 1.51838 4.0414 2.963 2.9358 3.9056 1.39382 1.98674 1.35828 3.8168 3.8404 3.1316 3.4614 3.3568 2.5354 1.45958 3.556 2.5948 1.97102 4.6192 2.5704 2.4444 2.0526 4.557 2.888 2.9652 4.7468 1.83296 3.9856 0.0 0.0 0.83938 5.0108 4.446 3.854 1.66096 3.854 5.0108 0.83938 4.446 1.66096 3.854 5.0108 0.83938 4.446
4 4.257 4.429 4.2648 0.0 3.6698 4.321 5.2764 3.3342 5.6856 4.6922 2.2992 2.7168 5.0118 4.4356 4.6542 2.9162 3.9586 4.5874 3.2256 5.5142 4.3182 4.064 4.5894 5.3676 4.2468 4.8902 3.8402 3.9422 4.0858 4.164 4.182 5.221 3.8322 0.33392 4.337 2.9858 4.7054 5.341 3.881 4.0512 4.4408 4.6652 2.2288 5.4274 2.262 2.6572 4.0384 5.0226 4.3246 4.4188 3.8118 3.9354 4.6656 6.0286 0.39812 0.371 2.6368 4.541 3.9738 3.4134 4.942 4.9656 5.2308 5.4486 5.034 4.5226 4.6068 4.6812 3.72 1.79218 3.6384 4.5576 4.4994 1.89968 4.9002 5.303 5.2258 4.312 3.8202 4.1668 0.0 0.0 4.3446 4.03 4.627 4.979 3.955 4.979 4.03 4.3446 4.627 3.955 4.979 4.03 4.3446 4.627
5 2.3226 3.4386 2.7904 2.4658 0.0 3.5586 3.3422 1.39978 4.7992 2.7578 1.7968 2.2144 4.4436 4.0112 3.5018 2.414 2.9982 2.653 2.3654 3.582 3.1098 2.5896 2.655 3.4332 2.3124 2.9558 0.170502 2.7338 2.6116 2.2296 2.2476 3.2866 1.89792 2.2996 2.4026 1.05138 2.771 5.5126 3.4566 4.223 2.5064 2.7308 1.51238 4.859 1.83762 2.157 3.614 3.0882 2.3902 2.4844 3.3876 3.367 2.7312 5.4602 2.3638 2.3366 3.3024 2.6066 3.5496 2.929 3.0076 3.0312 4.3444 4.8802 3.0996 3.9542 2.6724 2.747 1.78566 1.36782 3.81 3.9892 3.7372 1.47532 3.7478 3.3686 3.2914 3.9376 3.3958 3.1764 0.0 0.0 2.4102 4.2016 3.6368 3.0448 2.8738 3.0448 4.2016 2.4102 3.6368 2.8738 3.0448 4.2016 2.4102 3.6368
6 3.5884 5.1364 1.32824 3.7696 3.6312 0.0 3.81 3.2956 1.993 4.4556 3.4866 3.9042 2.2694 2.611 5.1996 4.1038 1.53606 3.5888 4.2612 5.2798 4.8076 1.12738 2.4328 3.901 4.0102 2.2256 3.8016 4.4316 1.14932 3.1334 1.7634 1.2925 3.7938 3.0614 4.1004 2.9472 4.4688 7.2104 1.51842 5.9208 1.77622 4.2606 3.2022 1.73482 2.5994 2.6188 3.0798 3.008 4.088 3.4202 1.44932 1.19282 1.159 2.336 3.1256 3.0984 4.9922 1.87644 2.1494 1.00824 4.5374 4.729 1.5382 1.9881 3.8274 1.7801 1.10018 4.4448 3.6814 2.6716 5.5078 1.81504 0.37094 2.4672 5.4456 3.3586 3.4358 5.6354 1.45756 4.8742 0.0 0.0 1.926 5.8994 5.3346 4.7426 1.03454 4.7426 5.8994 1.926 5.3346 1.03454 4.7426 5.8994 1.926 5.3346
7 0.76302 3.109 2.6888 3.8602 1.73382 3.457 0.0 1.67022 4.3156 2.4282 3.1912 3.609 4.342 4.0676 3.1724 3.8084 2.8968 1.09344 2.3638 3.2524 2.7802 2.488 2.3376 0.091038 1.98288 1.46026 1.90432 2.4042 2.51 1.94612 2.296 2.8032 1.89636 3.694 2.073 2.4458 2.4414 5.183 3.513 3.8934 1.68086 2.4014 2.9068 4.3814 3.232 2.4274 4.1484 1.52862 2.0606 0.9248 3.444 3.2654 2.6296 4.9826 3.7582 3.731 3.323 2.505 3.606 2.9776 2.678 2.7018 3.8608 4.7788 1.80014 3.8528 2.5708 2.4174 1.7841 2.7622 3.4806 3.8876 3.6356 2.8698 3.4182 2.069 1.99188 3.608 3.4522 2.8468 0.0 0.0 2.4586 3.872 3.3072 2.7152 2.7722 2.7152 3.872 2.4586 3.3072 2.7722 2.7152 3.872 2.4586 3.3072
8 1.52746 3.7694 1.63332 3.4828 2.0662 2.4014 2.547 0.0 3.642 3.0888 2.8136 3.2314 3.2864 2.862 3.8328 3.4308 1.84114 1.85786 2.6962 3.9128 3.4408 1.43244 1.49796 2.638 2.6434 1.79876 2.2368 3.0648 1.4544 1.07256 1.09046 2.1296 2.2288 3.3124 2.7336 2.2742 3.1018 5.8434 2.3074 4.5538 1.3493 3.0618 2.5292 3.7018 2.8504 1.94582 3.331 2.073 2.7212 1.68922 2.2384 2.2098 1.57406 4.303 3.3766 3.3496 3.6554 1.4495 2.4004 1.77196 3.3384 3.3622 3.1872 3.7232 2.5646 2.7972 1.51526 3.0778 2.1166 2.3846 4.141 2.8322 2.58 2.4662 4.0786 2.8334 2.7564 4.2684 2.2466 3.5072 0.0 0.0 1.25306 4.5324 3.9676 3.3756 1.71662 3.3756 4.5324 1.25306 3.9676 1.71662 3.3756 4.5324 1.25306 3.9676
9 4.9238 6.0858 2.6976 4.671 4.8186 1.88782 4.7594 4.483 0.0 5.405 4.674 5.0916 2.2348 2.6384 6.149 5.2912 2.9054 4.5382 5.4486 6.2292 5.757 2.4968 3.7682 4.8504 4.9596 3.309 4.989 5.381 2.5188 4.4688 3.1328 1.7499 4.9812 3.7188 5.0498 4.1346 5.4182 8.1598 2.1758 6.8702 3.1116 5.21 4.3896 1.26222 3.2568 3.8062 3.1072 4.3434 5.0374 4.3696 2.1068 1.85022 2.5784 1.16142 3.783 3.7558 6.0216 3.2458 2.8068 2.3616 5.4868 5.6784 1.28558 1.73948 4.7768 1.74548 2.5196 5.394 4.8688 3.573 6.4572 1.78044 2.0664 3.3686 6.395 4.308 4.3852 6.5848 2.115 5.8236 0.0 0.0 3.2954 6.8488 6.284 5.692 2.388 5.692 6.8488 3.2954 6.284 2.388 5.692 6.8488 3.2954 6.284
10 1.64274 2.3608 3.0106 4.11 1.98354 3.7708 1.03428 2.55 4.5894 0.0 3.441 3.8586 4.6636 4.8314 2.424 4.058 3.2184 1.85716 2.6136 2.504 2.032 2.8098 2.6592 1.12532 1.2346 1.78198 2.154 1.65602 2.8316 2.7098 3.0598 3.0768 2.072 3.9438 1.3248 2.6956 1.69312 4.4348 3.9128 3.145 2.0026 0.165034 3.1566 4.6552 3.4818 3.3072 5.0282 2.2924 1.3124 1.68852 3.8436 3.5872 2.9514 5.2564 4.008 3.9808 3.5726 2.8268 4.3696 3.4026 0.44174 1.95344 4.1346 5.1004 0.53386 4.1744 2.8926 1.66906 1.95982 3.012 2.7322 4.2094 3.9492 3.1194 2.67 0.8027 0.7256 2.8598 3.852 2.0986 0.0 0.0 3.2224 3.1238 2.5588 1.9669 3.094 1.9669 3.1238 3.2224 2.5588 3.094 1.9669 3.1238 3.2224 2.5588
