param n := 40.0;
param numVehicles := 5.0;
set Origin := 81 83 84 85 86 87;
set O := 83 84 85 86 87;
param Ok := 1 83 2 84 3 85 4 86 5 87;
set S := 93 94 95 96 97;
set F := 82 88 89 90 91 92;
param t:
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97:=
1 0.0 3.034 2.0676 1.47524 3.7832 1.64488 4.052 3.4282 2.8306 3.8776 2.254 4.6524 2.1366 3.1104 2.7556 3.9314 3.27 1.93904 2.7716 2.7144 3.1128 1.95548 4.757 3.345 4.9536 2.4582 2.123 3.2136 2.6838 4.3378 2.8756 3.8548 3.2306 4.2902 2.2122 4.402 3.1828 1.39504 3.4406 2.4722 2.4524 2.9252 3.5458 4.4674 3.7786 4.6878 3.42 2.8066 3.3892 3.004 2.2584 2.4024 3.0216 3.7458 3.7284 3.7238 0.97492 2.1438 3.6132 3.7426 3.5642 3.5934 4.8658 5.016 4.2918 3.2546 3.4374 4.5494 3.4408 4.3378 3.0378 2.3104 0.90856 1.28304 2.749 3.5446 3.0538 1.98204 3.6262 1.78618 0.0 0.0 3.044 3.211 3.215 2.5806 3.044 3.044 3.215 3.7138 2.5806 3.211 3.044 3.215 3.7138 2.5806 3.211
2 3.2448 0.0 2.7862 2.11 4.9358 1.17344 5.2046 0.89268 3.4812 5.0302 1.53856 2.0408 2.0152 3.761 3.4742 5.308 3.9884 1.1476 3.0602 4.029 3.8314 1.79604 6.1334 2.9656 2.3422 0.76468 2.4116 0.4582 3.4022 5.4902 3.526 4.5734 1.77314 1.53476 3.8128 5.5546 0.42742 2.1236 4.1592 3.7868 2.073 3.6438 3.1724 1.85602 4.4972 1.93228 4.0706 2.4272 4.5418 3.7226 3.765 3.717 2.6422 1.34416 4.978 4.8764 3.0194 2.8622 4.9276 5.1192 4.9406 0.98186 6.2422 2.7226 1.68036 3.9732 1.13156 1.93806 4.0978 5.4902 3.7564 1.83104 2.5052 1.7956 3.4676 4.2632 2.6744 1.5706 5.0028 2.5048 0.0 0.0 1.5396 4.5256 3.9336 2.101 1.5396 1.5396 3.9336 5.0904 2.101 4.5256 1.5396 3.9336 5.0904 2.101 4.5256
3 3.9002 3.1658 0.0 3.373 3.503 2.6548 3.7718 2.942 0.88646 3.5974 2.1398 4.1102 1.80046 1.16618 2.0414 3.8752 2.5558 2.7128 0.89746 2.5962 2.3986 2.9654 4.7008 1.96744 4.4114 2.608 1.7868 3.3454 1.96956 4.0576 0.93136 3.1408 2.7444 3.962 2.38 4.1218 3.3148 3.2928 2.7264 2.354 1.96626 2.2112 1.60166 3.6054 2.8396 4.3596 1.47584 2.3204 3.1092 2.2898 3.0462 2.2842 2.5354 3.8956 3.5452 3.4436 1.98474 1.42958 3.495 3.6866 3.508 3.1072 4.8096 4.1478 3.8056 1.57044 2.9512 3.6874 1.75658 4.0576 2.3236 1.97432 3.0024 2.2928 2.0348 2.6784 2.5678 3.5258 3.57 1.672 0.0 0.0 2.558 3.0928 2.501 2.2444 2.558 2.558 2.501 3.6578 2.2444 3.0928 2.558 2.501 3.6578 2.2444 3.0928
4 1.4242 2.4638 3.0074 0.0 4.5632 1.07466 4.8318 3.078 3.7704 4.6576 1.75978 4.226 3.0764 4.0502 3.6954 3.6174 4.2098 1.36882 3.7114 3.5002 4.0526 1.38526 4.4428 4.2848 4.5274 1.8879 3.0628 2.6434 3.6234 5.1176 3.8152 4.7946 3.1964 3.72 3.216 5.182 2.6126 0.45682 4.246 3.4762 3.3922 3.865 4.4856 4.0412 4.7184 4.1174 4.3598 3.7464 3.876 3.9438 1.94436 3.4062 3.9614 3.1756 3.4142 4.5096 2.2088 3.0836 4.399 3.4286 3.25 3.167 4.5516 4.9078 3.8656 4.1944 3.1892 4.1232 4.3806 5.1176 3.9776 3.2502 1.71432 2.0168 3.6888 4.4844 3.9936 1.04382 3.3122 2.726 0.0 0.0 3.1308 3.997 4.1548 3.5202 3.1308 3.1308 4.1548 3.3998 3.5202 3.997 3.1308 4.1548 3.3998 3.5202 3.997
5 4.6486 4.7922 2.356 4.1214 0.0 3.4032 0.3182 4.7284 3.1188 0.14385 4.0122 5.8486 3.8948 3.0086 1.63584 2.2596 0.71418 3.6972 3.1298 2.3466 1.345 3.7138 3.0852 3.7058 6.1498 4.2164 3.8812 4.9718 1.71996 0.60398 2.7738 1.29912 4.5308 6.0484 2.1304 0.66824 4.9412 4.0412 0.8848 2.1044 3.7526 1.15752 3.34 5.3438 1.24796 6.446 3.3182 4.1068 1.26754 0.99496 3.7946 2.0346 4.3218 5.504 1.70364 1.602 2.7332 2.432 1.70334 2.071 3.2584 4.8936 3.194 5.8862 5.592 2.1348 4.7376 5.4258 1.92158 0.60398 1.27004 4.0688 3.7508 3.0412 1.62918 1.48196 4.3542 4.2742 1.95444 3.5444 0.0 0.0 4.3444 1.3013 1.4473 4.3388 4.3444 4.3444 1.4473 2.3082 4.3388 1.3013 4.3444 1.4473 2.3082 4.3388 1.3013
6 2.4038 1.43344 1.97708 1.07466 4.1266 0.0 4.3954 2.0476 2.74 4.221 0.72942 3.1958 2.046 3.0198 2.665 4.4988 3.1794 0.33846 2.681 3.2198 3.0222 0.6669 5.3244 3.2544 3.497 0.85754 2.0324 1.61306 2.5932 4.6812 2.785 3.7642 2.166 2.6896 3.0036 4.7454 1.58228 0.99446 3.35 2.9776 2.3618 2.8346 3.4552 3.0108 3.688 3.0872 3.3294 2.716 3.7328 2.9134 2.9238 2.9078 2.931 2.1452 4.1688 4.0672 2.1264 2.0532 4.1186 4.31 4.1316 2.1368 5.4332 3.8774 2.8352 3.164 2.1588 3.093 3.3502 4.6812 2.9472 2.22 1.61196 0.98646 2.6584 3.454 2.9632 1.22746 4.1936 1.69558 0.0 0.0 2.1004 3.7164 3.1244 2.49 2.1004 2.1004 3.1244 4.2814 2.49 3.7164 2.1004 3.1244 4.2814 2.49 3.7164
7 4.3984 4.542 2.1056 3.8712 1.41128 3.153 0.0 4.8442 2.8686 1.50564 3.762 5.9644 3.6446 3.0424 1.38564 2.0094 0.46398 3.447 2.8796 2.0964 1.09478 3.4636 2.835 3.8216 6.2656 3.9662 3.631 4.7216 1.46974 0.35378 2.8076 1.0489 4.6466 5.7982 1.8802 0.41804 4.691 3.791 0.6346 1.8543 3.8684 0.90732 3.4558 5.4596 1.76064 6.1958 3.352 4.2226 1.01732 0.74476 3.5444 1.78442 4.4376 5.2538 1.45342 1.3518 2.483 2.1818 1.45314 1.8207 3.0082 5.0094 2.9438 6.002 5.7078 1.88462 4.8534 5.5416 2.0708 0.35378 1.01984 3.8186 3.5006 2.791 1.37898 1.52664 4.4698 4.024 1.70424 3.2942 0.0 0.0 4.4602 1.05108 1.1971 4.0886 4.4602 4.4602 1.1971 2.058 4.0886 1.05108 4.4602 1.1971 2.058 4.0886 1.05108
8 3.8446 0.98628 3.386 2.7096 5.5356 1.77314 5.8042 0.0 3.9068 5.6298 2.1382 2.2886 1.72488 3.9086 4.0738 5.9078 4.5882 1.7473 3.4858 4.6286 4.431 2.3958 6.7332 2.8434 2.5898 1.36438 2.8712 1.1659 4.002 6.09 3.6738 5.1732 1.48286 1.78246 4.4124 6.1542 1.13512 2.7232 4.7588 4.3866 1.95068 4.2436 3.05 2.1038 4.636 2.18 4.2182 2.3048 5.1416 4.3222 4.3646 4.3166 2.5198 2.104 5.5776 5.476 3.6192 3.462 5.5274 5.719 5.5404 1.22958 6.842 2.9704 1.92806 4.3128 1.37926 2.1858 3.9576 6.09 4.356 1.54074 3.1048 2.3952 4.0672 4.8628 2.5522 2.1702 5.6024 3.1044 0.0 0.0 1.4173 5.1254 4.5334 1.81076 1.4173 1.4173 4.5334 5.6902 1.81076 5.1254 1.4173 4.5334 5.6902 1.81076 5.1254
9 4.1652 4.0608 1.87254 3.6382 2.7702 2.9198 3.0388 3.797 0.0 2.8644 3.0348 4.9172 2.6956 0.43322 1.30848 3.1424 1.82282 3.214 1.7925 1.86322 1.66562 3.2304 3.9678 2.7744 5.2184 3.503 2.6818 4.2406 1.23658 3.3246 0.198396 2.4078 3.5994 4.857 1.64704 3.3888 4.2098 3.558 1.99344 1.62114 2.8212 1.47816 2.4086 4.4124 2.1066 5.2546 0.74288 3.1754 2.3762 1.55688 3.3114 1.55126 3.3906 4.7906 2.8122 2.7106 2.2498 0.69662 2.762 2.9536 2.775 3.9622 4.0766 4.955 4.6606 0.83746 3.8062 4.4944 1.0236 3.3246 1.59068 2.8694 3.2674 2.558 1.30182 1.94548 3.4228 3.791 2.837 2.567 0.0 0.0 3.413 2.36 1.76794 3.1394 3.413 3.413 1.76794 2.9248 3.1394 2.36 3.413 1.76794 2.9248 3.1394 2.36
10 4.5482 4.692 2.2556 4.0212 1.56122 3.3028 0.21792 4.628 3.0186 0.0 3.912 5.7482 3.7946 2.9084 1.53556 2.1594 0.6139 3.597 3.0296 2.2464 1.24472 3.6134 2.9848 3.6056 6.0496 4.116 3.781 4.8716 1.61968 0.5037 2.6734 1.19884 4.4306 5.9482 2.0302 0.56796 4.8408 3.941 0.78452 2.0042 3.6524 1.05724 3.2398 5.2434 1.14768 6.3456 3.218 4.0066 1.16726 0.89468 3.6944 1.93434 4.2216 5.4038 1.60336 1.50172 2.6328 2.3318 1.60306 1.97062 3.158 4.7932 3.0936 5.786 5.4918 2.0346 4.6374 5.3254 1.8213 0.5037 1.16976 3.9684 3.6506 2.941 1.5289 1.38168 4.2538 4.174 1.85416 3.4442 0.0 0.0 4.244 1.20102 1.34702 4.2384 4.244 4.244 1.34702 2.2078 4.2384 1.20102 4.244 1.34702 2.2078 4.2384 1.20102
